2026-01-28T23:48:58 | system | start_suite(parser)
2026-02-28T08:29:53 | parser | parse_result(input([forty_,seven]),status(ok),tree([tree(_26912,li([forty_],[=c1,cfin]),li([seven],[c1]))]))
2026-02-28T08:30:01 | parser | parse_result(input([eight,teen]),status(fail),tree(none))
2026-02-28T08:30:13 | parser | parse_result(input([two,hundred]),status(fail),tree(none))
2026-02-28T08:30:22 | parser | parse_result(input([two,hundred_and,three]),status(ok),tree([tree(_6492,tree(_6810,li([hundred_and],[=c3e,=c1,cfin]),li([three],[c3e])),li([two],[c1]))]))
2026-02-28T08:30:33 | parser | parse_result(input([nine,ty]),status(ok),tree([tree(_11188,empty,tree(_10830,li([ty],[=c1,+d,cfin]),li([nine],[c1,-d])))]))
2026-02-28T08:31:39 | parser | parse_result(input([fourty_,seven]),status(fail),tree(none))
2026-02-28T08:31:52 | parser | parse_result(input([bacon]),status(fail),tree(none))
2026-02-28T08:32:55 | parser | parse_result(input([two,hundred]),status(fail),tree(none))
2026-02-28T08:33:27 | parser | parse_result(input([two,hundred_and,seven]),status(ok),tree([tree(_16338,tree(_16656,li([hundred_and],[=c3e,=c1,cfin]),li([seven],[c3e])),li([two],[c1]))]))
2026-02-28T08:57:10 | parser | parse_result(input([twenty]),status(ok),tree([li([twenty],[cfin])]))
2026-02-28T08:57:25 | parser | parse_result(input([eight,een]),status(ok),tree([tree(_195712214,empty,tree(_195711856,li([een],[=c1,+b,cfin]),li([eight],[c1,-b])))]))
2026-02-28T08:57:32 | parser | parse_result(input([seven,een]),status(fail),tree(none))
2026-02-28T08:57:37 | parser | parse_result(input([seven,teen]),status(fail),tree(none))
